addr,time,Fx,Fy,Fz,Mx,My,Mz
170,4.615,-0.00595,-0.00578,0.00056,-0.00007,0.00026,-0.00006
170,4.616,0.00122,0.00141,-0.00514,0,0.00001,0.0001
170,4.617,-0.0012,-0.00003,0.00444,-0.00002,-0.00005,0.0001
170,4.618,-0.00092,0.00837,-0.00214,0.00014,0.00004,-0.00005
170,4.619,0.00713,0.00378,0.00034,0.00001,-0.0001,0.00001
170,4.62,0.0017,0.00225,-0.00338,-0.00002,0.00012,0.00007
170,4.621,-0.00882,-0.00756,-0.00127,-0.00022,0.00023,-0.00007
170,4.622,-0.00033,-0.00211,0.00416,0.00003,-0.00008,-0.00003
170,4.623,-0.00234,0.00722,-0.00321,0.00006,0.00001,-0.0002
170,4.624,0.0048,0.00223,-0.00062,0,-0.00014,-0.00005
170,4.625,-0.00816,0.00284,0.00067,-0.00011,0.00014,0.00004
170,4.626,-0.00083,0.01079,-0.00352,0.00006,0.00001,-0.00021
170,4.627,0.00814,0.01202,-0.00268,0.00021,-0.00011,-0.00008
170,4.628,-0.00073,0.00453,0.00094,0.00007,0.00006,0.00003
170,4.629,-0.01262,-0.00037,-0.00118,0.00007,0.00017,0.00005
170,4.63,-0.01912,0.00685,-0.00259,0.00013,0.0002,-0.00008
170,4.631,-0.00892,0.00708,0.00186,0.00006,0.00017,-0.00011
170,4.632,-0.00842,-0.00481,0.00092,-0.00001,0.00026,-0.00011
170,4.633,-0.00602,-0.00589,0.00839,-0.00027,0.00008,-0.00006
170,4.634,0.00447,-0.00287,0.00309,0,-0.00017,-0.00007
170,4.635,-0.00604,-0.00691,0.00002,-0.00028,0.00016,-0.00003
170,4.636,-0.00596,-0.00353,0.00023,-0.00011,0.00016,-0.00001
170,4.637,-0.01798,-0.00462,-0.00167,0.00003,0.00023,0.00001
170,4.638,-0.01462,-0.01164,0.00474,-0.00025,0.00018,-0.00006
170,4.639,-0.00371,-0.00218,-0.00185,-0.00015,0.00015,-0.00005
170,4.64,0.00378,0.01151,-0.00049,0.00009,0.00001,-0.00004
170,4.641,-0.00701,-0.00177,0.00143,-0.00006,0.00003,-0.00018
170,4.642,-0.00033,0.01183,0.01156,0.00017,0.00004,-0.00004
170,4.643,0.00245,0.00215,-0.00171,0.00004,-0.00011,-0.00011
170,4.644,-0.00024,0.00282,0.00358,-0.00002,0.00006,0.00007
170,4.645,0.00443,-0.00672,0.00254,-0.00002,0.00003,-0.00013
170,4.646,-0.00244,-0.005,-0.00304,0.00004,0.00013,-0.00011
170,4.647,0.0001,0.01098,0.00097,0.00015,0.00009,-0.00013
170,4.648,0.00522,0.00058,0.00098,0.00004,-0.00004,0.0001
170,4.649,-0.0023,0.0034,0.00083,-0.00003,0,0.00016
170,4.65,-0.01294,-0.00657,0.00164,-0.00019,0.00013,0.00002
170,4.651,-0.00752,-0.00331,0.00111,-0.0001,0.00009,0.00003
170,4.652,-0.0081,0.00832,0.00296,0.00014,0.00024,-0.00003
170,4.653,-0.00263,0.00637,0.00112,0.00015,0,-0.00002
170,4.654,-0.00295,0.01274,0.00454,0.00015,0.00005,-0.00005
170,4.655,-0.00561,0.007,-0.00318,0.0001,0.00012,-0.00005
170,4.656,-0.00308,0.01592,0.00119,0.00028,0.0001,-0.00021
170,4.657,-0.00586,0.00704,0.0016,0.00017,0.00021,0.00009
170,4.658,-0.00418,0.00913,-0.00101,0.0001,-0.00009,0.00004
170,4.659,-0.00987,0.00512,-0.00238,0.00009,0.00021,-0.00005
170,4.66,-0.00235,0.00261,-0.00391,-0.00005,0.00011,-0.00016
170,4.661,-0.00087,0.0042,0.00076,0.00008,0.00003,0.00001
170,4.662,-0.00438,0.00886,0.00003,0.00014,-0.00001,-0.00005
170,4.663,-0.00074,0.00482,-0.00601,-0.00001,0.00004,0.00003
170,4.664,0.00073,0.00583,-0.00198,0.00008,0.00014,0
170,4.665,-0.00307,-0.01037,0.00008,-0.00025,0.00009,0.00001
170,4.666,-0.0066,-0.00238,0.00561,-0.00019,0.00003,-0.00004
170,4.667,0.00128,0.0019,0.00568,0.00005,-0.00002,0.00005
170,4.668,-0.00391,-0.00174,0.00483,-0.00008,0.00011,-0.00002
170,4.669,0.00014,-0.00591,-0.0011,-0.00013,0.00002,-0.00007
170,4.67,-0.00314,-0.00328,0.00505,-0.0001,0.00011,0.00006
170,4.671,-0.00123,0.00497,-0.00385,0.0002,-0.00001,-0.00004
170,4.672,-0.00536,0.00584,-0.00272,0.00002,0.00005,-0.0001
170,4.673,-0.00705,0.01466,0.00793,0.00031,0.00011,0.00007
170,4.674,-0.0082,0.00583,-0.00159,0.00016,0.00014,0.00005
170,4.675,-0.00315,0.00999,-0.00023,0.00018,0.00008,-0.00002
170,4.676,0.00393,0.00546,-0.00999,0.00006,-0.00005,0.00002
170,4.677,0.00244,0.00128,-0.00599,0.00005,-0.0001,0.00002
170,4.678,-0.00189,0.00582,0.00471,0.00017,0.00003,0.0001
170,4.679,0.00452,-0.00218,-0.00122,0.00001,-0.00002,-0.00021
170,4.68,0.003,0.00463,0.00185,0.00013,-0.00009,0
170,4.681,0.00613,0.00897,0.00112,0.00009,-0.00028,0.00012
170,4.682,-0.00418,0.00764,-0.00242,0.00012,-0.00002,-0.00002
170,4.683,-0.00226,0.01009,0.00117,0.00031,0.00005,-0.00004
170,4.684,0.00578,0.00548,-0.00185,0.00009,-0.0001,0.00005
